datetime,open,high,low,close,volume,return
20231227,49.51,49.68,49.09,49.42,167966260,0.0028409090909091717
20231228,49.65,49.88,49.41,49.52,177423360,0.0020234722784298054
20231229,49.81,50.0,48.75,49.52,286695580,0.0
20240102,49.27,49.3,47.6,48.17,285900610,-0.02726171243941844
20240103,47.47,48.19,47.32,47.57,219800480,-0.012455885405854294
20240104,47.77,48.5,47.51,48.0,215133920,0.009039310489804553
20240105,48.46,49.55,48.31,49.1,297224920,0.022916666666666696
20240108,49.51,52.27,49.48,52.25,455139400,0.0641547861507128
20240109,52.42,54.33,51.69,53.14,573595960,0.01703349282296651
20240110,53.63,54.6,53.49,54.35,391909500,0.022770041400075325
20240111,54.98,55.35,53.56,54.82,445102730,0.008647654093836277
20240112,54.62,54.97,54.33,54.71,258444660,-0.0020065669463699143
20240116,55.02,56.84,54.9,56.38,313361210,0.030524584171083946
20240117,56.35,56.47,54.74,56.05,346289760,-0.005853139411138852
20240118,57.27,57.6,56.11,57.11,345294740,0.018911685994647653
20240119,57.97,59.5,57.23,59.49,378733580,0.0416739625284539
20240122,60.05,60.33,59.07,59.65,298393040,0.0026895276517060474
20240123,59.57,59.91,58.59,59.87,206131820,0.0036881810561608663
20240124,60.3,62.85,59.94,61.36,408544900,0.024887255720728252
20240125,62.34,62.72,60.85,61.62,340953590,0.004237288135593209
20240126,60.96,61.78,60.57,61.03,271991250,-0.00957481337228172
20240129,61.25,62.49,60.91,62.46,230198190,0.023431099459282345
20240130,62.9,63.49,62.26,62.77,287145190,0.004963176432916994
20240131,61.44,62.27,60.7,61.53,314271380,-0.01975465986936442
20240201,62.11,63.19,61.65,63.03,259525930,0.024378352023403327
20240202,63.97,66.6,63.69,66.16,328047750,0.04965889259082967
20240205,68.23,69.5,67.21,69.33,469733620,0.047914147521160855
20240206,69.63,69.75,66.3,68.22,475674640,-0.016010385114669012
20240207,68.32,70.22,67.6,70.1,336664660,0.027557900908824262
20240208,70.07,70.79,69.46,69.64,275956490,-0.0065620542082738265
20240209,70.51,72.19,70.21,72.13,299076930,0.03575531303848356
20240212,72.59,74.61,71.25,72.25,425728550,0.0016636628309996127
20240213,70.43,73.45,69.62,72.13,411509190,-0.0016608996539793086
20240214,73.2,74.24,71.94,73.9,349727300,0.024539026757244065
20240215,73.85,73.98,72.4,72.66,283994590,-0.016779431664411537
20240216,74.12,74.4,72.5,72.61,339035910,-0.0006881365262867423
20240220,71.95,71.96,67.73,69.45,458646540,-0.043520176284258305
20240221,68.02,68.89,66.25,67.47,355807110,-0.02850971922246226
20240222,75.03,78.58,74.22,78.54,517572140,0.16407292129835493
20240223,80.79,82.39,77.57,78.82,557442460,0.0035650623885916666
20240226,79.7,80.65,78.51,79.09,337790410,0.00342552651611272
20240227,79.38,79.48,77.16,78.7,264398580,-0.004931091161967438
20240228,77.62,78.93,77.13,77.66,246529310,-0.013214739517153795
